City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Balaghat,IN,83.03,broken clouds,21.8,80.1833,Hotel celebration
2,Saint Anthony,US,73.94,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
5,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Cravinhos,BR,72.32,few clouds,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
11,Atambua,ID,71.64,broken clouds,-9.1061,124.8925,Kost Alfa Flat
13,Butaritari,KI,82.08,light rain,3.0707,172.7902,Isles Sunset Lodge
15,Rikitea,PF,72.3,light rain,-23.1203,-134.9692,People ThankYou
16,Zhangye,CN,78.64,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
18,Sinnamary,GF,78.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
20,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
21,Durban,ZA,77.92,clear sky,-29.8579,31.0292,Hilton Durban
22,Sidi Bin Nur,TN,84.11,clear sky,35.5333,10.9167,Chalet El Aila
26,Terme,TR,78.73,scattered clouds,41.2092,36.9739,OTEL GÜVEN TERME
27,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
29,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
33,Pak Phanang,TH,82.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
35,Lazaro Cardenas,MX,76.91,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
44,Isangel,VU,76.51,clear sky,-19.55,169.2667,Tanna Lodge
48,Bethel,US,72.75,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
52,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
53,Quatre Cocos,MU,71.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
54,Pandan,PH,81.7,overcast clouds,14.0453,124.1694,Bonifacio Lodge
58,Yara,CU,80.6,overcast clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
62,Chiradzulu,MW,71.22,scattered clouds,-15.6746,35.1407,Detroit hostel
66,Aljezur,PT,84.51,clear sky,37.3191,-8.8033,Amazigh Hostel
67,Ambilobe,MG,80.89,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
69,Hirara,JP,84.42,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
72,Kirkwood,US,74.84,clear sky,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
74,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
75,Ispica,IT,84.83,scattered clouds,36.7844,14.9063,Palazzo Gambuzza
76,Toktogul,KG,79.03,overcast clouds,41.8708,72.9402,KAGAN
78,Batouri,CM,80.33,light rain,4.4333,14.3667,Hotel Hollywood
79,Akom,CM,84.94,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
82,Kisangani,CD,88.77,overcast clouds,0.5167,25.2,Grand Ramela Hotel
84,Yuty,PY,74.7,moderate rain,-26.6,-56.25,Hotel Independencia
87,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
91,Baturite,BR,77.72,overcast clouds,-4.3286,-38.8847,Hotel Padre Cícero baturite
93,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
94,Kalemie,CD,78.15,clear sky,-5.9475,29.1947,Mahobilali
100,Victoria,HK,87.33,few clouds,22.2855,114.1577,Mini Central
101,Dhidhdhoo,MV,81.37,moderate rain,6.8833,73.1,Dhidhoo beach
103,Atuona,PF,77.34,scattered clouds,-9.8,-139.0333,Villa Enata
106,Guane,CU,80.96,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
107,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
108,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Ponta Do Sol,PT,89.71,clear sky,32.6667,-17.1,Hotel do Campo
113,Maragogi,BR,77.95,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
116,Trinidad,BO,76.98,few clouds,-14.8333,-64.9,Hotel Piesta
119,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Pensao Casual
123,Mogadishu,SO,78.67,light rain,2.0371,45.3438,Hotel Juba
124,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,Vanimo,PG,78.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
129,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
130,Takoradi,GH,79.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
132,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
133,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
136,Saku,JP,74.08,clear sky,36.2167,138.4833,Saku Grand Hotel
138,Touros,BR,82.09,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Lorengau,PG,81.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
141,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
144,Dicabisagan,PH,80.6,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
150,Indi,IN,72.37,overcast clouds,17.1667,75.9667,Shree Gurubhojanalaya
153,Lufilufi,WS,71.38,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
154,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
155,Bolshaya Sosnova,RU,81.66,clear sky,57.6713,54.6029,Gostinitsa
156,Tautira,PF,77.04,light rain,-17.7333,-149.15,Pension Oaoa
158,Qui Nhon,VN,80.28,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
159,Dingle,PH,77.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
160,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
161,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
164,Salalah,OM,78.64,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
167,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
171,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
172,Marawi,PH,70.18,overcast clouds,7.9986,124.2928,Derogongan Residence
173,Muleba,TZ,74.44,clear sky,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
174,Loiza,PR,86.63,overcast clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
176,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
179,Waingapu,ID,75.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
181,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
186,Lemery,PH,77.49,overcast clouds,11.2258,122.9275,Espia Resthouse and Resort
187,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
