City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,33.46,75,75,13.8,broken clouds
1,Balaghat,IN,21.8,80.1833,83.03,79,70,3.4,broken clouds
2,Saint Anthony,US,45.0205,-93.218,73.94,74,75,11.5,broken clouds
3,Lagoa,PT,39.05,-27.9833,68.47,68,100,5.26,overcast clouds
4,Charters Towers,AU,-20.1,146.2667,51.93,56,0,9.1,clear sky
5,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,24,15.3,few clouds
6,Cravinhos,BR,-21.3403,-47.7294,72.32,40,18,8.84,few clouds
7,Astana,KZ,51.1801,71.446,69.75,73,40,2.24,scattered clouds
8,Constitucion,CL,-35.3333,-72.4167,49.44,86,100,3.44,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,98,4.0,light rain
10,Bam,IR,29.106,58.357,102.2,10,29,6.82,scattered clouds
11,Atambua,ID,-9.1061,124.8925,71.64,80,65,5.61,broken clouds
12,Busselton,AU,-33.65,115.3333,54.1,69,43,7.87,scattered clouds
13,Butaritari,KI,3.0707,172.7902,82.08,78,13,17.45,light rain
14,Huarmey,PE,-10.0681,-78.1522,62.96,83,98,5.79,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,72.3,79,24,4.63,light rain
16,Zhangye,CN,38.9342,100.4517,78.64,45,100,8.75,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,62.11,78,40,19.57,scattered clouds
18,Sinnamary,GF,5.3833,-52.95,78.6,86,90,3.13,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,43.2,68,100,2.77,overcast clouds
20,Hasaki,JP,35.7333,140.8333,75.6,93,0,7.92,clear sky
21,Durban,ZA,-29.8579,31.0292,77.92,38,0,3.0,clear sky
22,Sidi Bin Nur,TN,35.5333,10.9167,84.11,40,0,14.43,clear sky
23,Filingue,NE,14.3521,3.3168,90.54,37,89,6.02,overcast clouds
24,Talara,PE,-4.5772,-81.2719,63.36,88,100,12.66,overcast clouds
25,Albany,US,42.6001,-73.9662,68.58,58,0,4.09,clear sky
26,Terme,TR,41.2092,36.9739,78.73,70,44,7.96,scattered clouds
27,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
28,Hermanus,ZA,-34.4187,19.2345,55.8,82,99,10.74,light rain
29,Sibu,MY,2.3,111.8167,77.31,94,40,5.75,scattered clouds
30,Hobart,AU,-42.8794,147.3294,48.25,76,0,8.05,clear sky
31,Sovetsk,RU,55.0839,21.8785,65.08,73,36,8.66,scattered clouds
32,Mecca,SA,21.4267,39.8261,102.24,12,84,17.76,light rain
33,Pak Phanang,TH,8.3511,100.202,82.42,76,100,4.79,overcast clouds
34,Mataura,NZ,-46.1927,168.8643,35.47,97,14,2.86,few clouds
35,Lazaro Cardenas,MX,17.9583,-102.2,76.91,90,98,5.7,overcast clouds
36,Lodja,CD,-3.4833,23.4333,101.97,14,43,1.99,scattered clouds
37,Ginda,IN,30.6945,78.4932,68.31,88,100,0.49,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,47.91,80,100,3.27,overcast clouds
39,Castro,BR,-24.7911,-50.0119,65.37,60,100,9.17,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,28.51,86,75,6.91,broken clouds
41,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,8.05,broken clouds
42,Adrar,MR,20.5022,-10.0711,108.1,7,0,4.52,clear sky
43,Vardo,NO,70.3705,31.1107,53.58,87,75,6.91,broken clouds
44,Isangel,VU,-19.55,169.2667,76.51,81,4,7.76,clear sky
45,Aklavik,CA,68.2191,-135.0107,46.47,84,100,11.5,overcast clouds
46,Mar Del Plata,AR,-38.0023,-57.5575,55.42,92,100,8.05,mist
47,Karema,TZ,-6.8205,30.4389,80.37,40,0,9.35,clear sky
48,Bethel,US,41.3712,-73.414,72.75,56,0,9.22,clear sky
49,Luderitz,NA,-26.6481,15.1594,60.57,70,60,8.7,broken clouds
50,Zyryanka,RU,65.75,150.85,63.3,55,7,15.23,clear sky
51,Nikolskoye,RU,59.7035,30.7861,69.69,96,100,3.29,light rain
52,Inhambane,MZ,-23.865,35.3833,76.98,65,20,13.8,few clouds
53,Quatre Cocos,MU,-20.2078,57.7625,71.71,60,5,21.72,clear sky
54,Pandan,PH,14.0453,124.1694,81.7,82,100,3.04,overcast clouds
55,Lake Havasu City,US,34.4839,-114.3224,95.05,12,0,3.44,clear sky
