City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-07-07 00:18:07,-37.6167,-73.65,47.12,75,19,3.06
1,Bengkulu,ID,2022-07-07 00:13:50,-3.8004,102.2655,77.58,84,95,5.3
2,Menongue,AO,2022-07-07 00:18:07,-14.6585,17.691,51.13,54,21,5.03
3,Kajaani,FI,2022-07-07 00:18:07,64.2273,27.7285,50.05,100,0,2.3
4,Lagoa,PT,2022-07-07 00:18:08,39.05,-27.9833,64.83,81,100,13.0
5,Mount Gambier,AU,2022-07-07 00:18:09,-37.8333,140.7667,53.11,63,73,10.11
6,Thompson,CA,2022-07-07 00:15:11,55.7435,-97.8558,71.51,33,100,6.64
7,Port Elizabeth,ZA,2022-07-07 00:18:09,-33.918,25.5701,52.09,93,0,1.14
8,Tres Lagoas,BR,2022-07-07 00:18:10,-20.7511,-51.6783,70.56,38,100,6.67
9,Saldanha,ZA,2022-07-07 00:18:11,-33.0117,17.9442,42.85,85,36,9.28
10,Chuy,UY,2022-07-07 00:18:11,-33.6971,-53.4616,59.68,97,100,12.35
11,Nikolskoye,RU,2022-07-07 00:18:11,59.7035,30.7861,61.81,86,100,2.86
12,Tessalit,ML,2022-07-07 00:18:12,20.1986,1.0114,97.47,16,85,6.38
13,Mataura,NZ,2022-07-07 00:18:12,-46.1927,168.8643,45.48,72,100,2.71
14,Pacific Grove,US,2022-07-07 00:13:27,36.6177,-121.9166,77.23,76,20,12.66
15,Pevek,RU,2022-07-07 00:18:13,69.7008,170.3133,33.57,87,92,12.06
16,Tuktoyaktuk,CA,2022-07-07 00:18:13,69.4541,-133.0374,54.0,65,28,11.68
17,Ushuaia,AR,2022-07-07 00:18:13,-54.8,-68.3,28.06,74,0,4.61
18,Durres,AL,2022-07-07 00:13:17,41.3231,19.4414,71.78,70,0,7.45
19,North Platte,US,2022-07-07 00:14:51,41.1239,-100.7654,84.11,60,75,11.99
20,Dunedin,NZ,2022-07-07 00:15:01,-45.8742,170.5036,46.8,72,100,1.99
21,Tigil,RU,2022-07-07 00:18:14,57.8,158.6667,69.01,60,100,11.63
22,Hobart,AU,2022-07-07 00:15:02,-42.8794,147.3294,52.05,77,63,4.36
23,Bilma,NE,2022-07-07 00:13:22,18.6853,12.9164,89.74,13,0,11.86
24,Tazovskiy,RU,2022-07-07 00:18:14,67.4667,78.7,49.71,78,49,7.2
25,Butaritari,KI,2022-07-07 00:18:15,3.0707,172.7902,82.6,75,100,20.69
26,Belaya Gora,RU,2022-07-07 00:18:16,68.5333,146.4167,56.61,57,100,13.87
27,Carnarvon,AU,2022-07-07 00:18:16,-24.8667,113.6333,61.3,31,0,11.27
28,Agbor,NG,2022-07-07 00:18:16,6.2518,6.1934,73.15,99,96,3.58
29,Lata,PT,2022-07-07 00:18:17,40.1629,-8.3327,70.07,72,0,3.02
30,Upernavik,GL,2022-07-07 00:18:17,72.7868,-56.1549,40.69,80,6,5.3
31,Kirakira,SB,2022-07-07 00:18:17,-10.4544,161.9205,82.4,78,98,11.41
32,Asau,RO,2022-07-07 00:18:17,46.4333,26.4,60.28,98,100,3.0
33,Bushehr,IR,2022-07-07 00:18:19,28.9684,50.8385,87.89,51,0,9.22
34,Kahului,US,2022-07-07 00:18:19,20.8947,-156.47,86.02,54,20,23.02
35,Rikitea,PF,2022-07-07 00:18:19,-23.1203,-134.9692,75.18,69,10,17.18
36,Severo-Kurilsk,RU,2022-07-07 00:18:19,50.6789,156.125,55.4,66,100,11.39
37,Albany,US,2022-07-07 00:17:29,42.6001,-73.9662,74.05,69,56,3.47
38,New Norfolk,AU,2022-07-07 00:18:20,-42.7826,147.0587,51.89,79,69,1.99
39,Georgetown,MY,2022-07-07 00:15:26,5.4112,100.3354,81.9,88,20,0.0
40,Cape Town,ZA,2022-07-07 00:16:25,-33.9258,18.4232,58.37,74,20,8.05
41,Norman Wells,CA,2022-07-07 00:18:20,65.282,-126.8329,88.88,20,2,6.89
42,Canete,CL,2022-07-07 00:18:20,-37.8,-73.4,43.14,92,46,3.18
43,Hilo,US,2022-07-07 00:15:34,19.7297,-155.09,90.28,56,0,9.22
44,Isangel,VU,2022-07-07 00:18:21,-19.55,169.2667,80.33,74,100,7.36
45,Saskylakh,RU,2022-07-07 00:18:21,71.9167,114.0833,59.74,45,96,7.2
46,Sao Filipe,CV,2022-07-07 00:18:21,14.8961,-24.4956,75.11,85,68,10.0
47,Vilyuysk,RU,2022-07-07 00:18:22,63.7553,121.6247,62.17,67,100,3.62
48,Saint-Philippe,RE,2022-07-07 00:19:22,-21.3585,55.7679,65.79,75,67,9.86
49,Nome,US,2022-07-07 00:19:22,64.5011,-165.4064,61.16,64,100,8.05
50,Atuona,PF,2022-07-07 00:19:23,-9.8,-139.0333,77.77,80,37,22.68
51,Denizli,TR,2022-07-07 00:19:23,37.8402,29.0698,72.27,61,0,3.67
52,Puerto Del Rosario,ES,2022-07-07 00:19:23,28.5004,-13.8627,69.55,78,100,16.11
53,Port Hedland,AU,2022-07-07 00:19:23,-20.3167,118.5667,60.85,25,21,10.36
54,Airai,TL,2022-07-07 00:19:24,-8.9266,125.4092,59.0,70,69,2.91
55,Tawang,IN,2022-07-07 00:19:24,27.5833,91.8667,57.4,84,10,4.18
56,Tezu,IN,2022-07-07 00:19:24,27.9167,96.1667,79.77,91,20,1.83
57,Busselton,AU,2022-07-07 00:19:25,-33.65,115.3333,48.76,88,86,10.31
58,Springbok,ZA,2022-07-07 00:19:25,-29.6643,17.8865,45.77,36,0,5.28
59,Sibu,MY,2022-07-07 00:19:26,2.3,111.8167,75.51,94,40,3.44
60,Vaini,TO,2022-07-07 00:19:26,-21.2,-175.2,77.16,69,40,10.36
61,Hithadhoo,MV,2022-07-07 00:19:26,-0.6,73.0833,81.88,76,99,9.64
62,Fernie,CA,2022-07-07 00:15:37,49.5,-115.0687,76.19,45,84,2.84
63,La Romana,DO,2022-07-07 00:19:27,18.4273,-68.9728,82.76,78,75,0.0
64,Qaanaaq,GL,2022-07-07 00:15:20,77.484,-69.3632,39.61,96,100,1.1
65,Puquio,PE,2022-07-07 00:19:27,-14.7,-74.1333,52.77,38,56,2.3
66,Gillette,US,2022-07-07 00:16:06,44.2911,-105.5022,61.72,94,100,17.27
67,Kapaa,US,2022-07-07 00:19:27,22.0752,-159.319,84.18,68,20,14.97
68,Dongsheng,CN,2022-07-07 00:19:28,39.8161,109.9776,75.58,34,0,16.8
69,Puerto Escondido,MX,2022-07-07 00:19:28,15.85,-97.0667,83.23,69,40,3.44
70,Punta Arenas,CL,2022-07-07 00:19:29,-53.15,-70.9167,28.51,93,0,9.22
71,Camacha,PT,2022-07-07 00:19:29,33.0833,-16.3333,65.62,68,75,10.36
72,Xinyang,CN,2022-07-07 00:15:05,32.1228,114.0656,81.03,79,10,2.33
73,Jamestown,US,2022-07-07 00:15:56,42.097,-79.2353,72.01,77,75,8.05
74,Port Hardy,CA,2022-07-07 00:19:29,50.6996,-127.4199,60.28,89,99,6.87
75,Tiksi,RU,2022-07-07 00:19:30,71.6872,128.8694,41.52,74,57,3.53
76,Kalmunai,LK,2022-07-07 00:14:54,7.4167,81.8167,80.28,75,100,2.68
77,Bambous Virieux,MU,2022-07-07 00:19:30,-20.3428,57.7575,70.05,60,75,11.5
